timestamp,datetime,joint_1_angle,joint_2_angle,joint_3_angle,joint_4_angle,joint_5_angle,joint_6_angle
9.020198583602905,2025-07-25 16:58:30.521,-51.85546875,-39.19921875,74.091796875,59.326171875,12.83203125,-85.25390625
9.223289728164673,2025-07-25 16:58:30.724,-37.353515625,-45.263671875,73.740234375,61.259765625,12.83203125,-85.25390625
9.425012588500977,2025-07-25 16:58:30.925,-12.83203125,-54.66796875,79.541015625,62.05078125,12.744140625,-85.25390625
9.627235889434814,2025-07-25 16:58:31.128,-3.076171875,-68.73046875,96.064453125,67.060546875,12.83203125,-85.25390625
9.828889608383179,2025-07-25 16:58:31.329,-7.03125,-83.49609375,102.041015625,82.08984375,12.83203125,-85.25390625
10.028768062591553,2025-07-25 16:58:31.529,-7.470703125,-92.724609375,102.041015625,98.26171875,12.83203125,-85.25390625
10.229920864105225,2025-07-25 16:58:31.730,-8.173828125,-97.20703125,101.6015625,107.9296875,12.744140625,-85.25390625
10.431774854660034,2025-07-25 16:58:31.932,-8.173828125,-97.470703125,100.458984375,107.841796875,12.744140625,-85.25390625
10.633876323699951,2025-07-25 16:58:32.134,-8.173828125,-97.55859375,100.546875,107.841796875,12.744140625,-85.25390625
10.836978673934937,2025-07-25 16:58:32.337,-8.173828125,-97.646484375,100.546875,107.841796875,12.744140625,-85.25390625
11.03953742980957,2025-07-25 16:58:32.540,-8.173828125,-97.646484375,100.546875,107.841796875,12.744140625,-85.25390625
11.2422513961792,2025-07-25 16:58:32.743,-8.173828125,-97.734375,100.546875,107.841796875,12.744140625,-85.25390625
11.443746089935303,2025-07-25 16:58:32.944,-8.173828125,-97.734375,100.458984375,107.841796875,12.744140625,-85.25390625
11.64640498161316,2025-07-25 16:58:33.147,-8.173828125,-97.734375,100.458984375,107.841796875,12.744140625,-85.25390625
11.84766936302185,2025-07-25 16:58:33.348,-8.173828125,-97.734375,100.458984375,107.841796875,12.744140625,-85.25390625
12.049219369888306,2025-07-25 16:58:33.550,-8.173828125,-97.734375,100.458984375,107.841796875,12.744140625,-85.25390625
12.252986669540405,2025-07-25 16:58:33.753,-8.173828125,-97.822265625,100.458984375,107.841796875,12.744140625,-85.25390625
12.452505111694336,2025-07-25 16:58:33.953,-8.173828125,-97.734375,100.458984375,107.841796875,12.744140625,-85.25390625
12.652919054031372,2025-07-25 16:58:34.153,-8.173828125,-97.734375,100.458984375,107.841796875,12.744140625,-85.25390625
12.855148792266846,2025-07-25 16:58:34.356,-8.173828125,-97.734375,100.458984375,107.841796875,12.744140625,-85.25390625
13.057433128356934,2025-07-25 16:58:34.558,-8.173828125,-97.822265625,100.458984375,107.841796875,12.744140625,-85.25390625
13.25767183303833,2025-07-25 16:58:34.758,-8.173828125,-97.822265625,100.458984375,107.841796875,12.744140625,-85.25390625
13.461830854415894,2025-07-25 16:58:34.962,-8.0859375,-97.822265625,100.37109375,107.841796875,12.744140625,-85.25390625
13.663969039916992,2025-07-25 16:58:35.164,-8.173828125,-97.822265625,100.458984375,107.841796875,12.744140625,-85.25390625
13.86556363105774,2025-07-25 16:58:35.366,-8.173828125,-97.822265625,100.458984375,107.841796875,12.744140625,-85.25390625
14.065489768981934,2025-07-25 16:58:35.566,-8.0859375,-97.822265625,100.37109375,107.841796875,12.744140625,-85.25390625
14.2682945728302,2025-07-25 16:58:35.769,-8.173828125,-97.822265625,100.37109375,107.841796875,12.744140625,-85.25390625
14.468956708908081,2025-07-25 16:58:35.969,-8.173828125,-97.822265625,100.37109375,107.9296875,12.744140625,-85.25390625
14.670510292053223,2025-07-25 16:58:36.171,-8.173828125,-97.822265625,100.37109375,107.841796875,12.744140625,-85.25390625
14.873951435089111,2025-07-25 16:58:36.374,-8.173828125,-97.822265625,100.458984375,107.841796875,12.744140625,-85.25390625
15.078139543533325,2025-07-25 16:58:36.579,-8.173828125,-97.822265625,100.37109375,107.841796875,12.744140625,-85.25390625
15.279300689697266,2025-07-25 16:58:36.780,-8.173828125,-97.822265625,100.37109375,107.841796875,12.744140625,-85.25390625
15.482461214065552,2025-07-25 16:58:36.983,-8.173828125,-97.822265625,100.37109375,107.841796875,12.744140625,-85.25390625
15.684850454330444,2025-07-25 16:58:37.185,-8.173828125,-97.822265625,100.37109375,107.841796875,12.744140625,-85.25390625
15.887787103652954,2025-07-25 16:58:37.388,-8.173828125,-97.822265625,100.37109375,107.841796875,12.744140625,-85.25390625
16.088814735412598,2025-07-25 16:58:37.589,-8.173828125,-97.822265625,100.37109375,107.841796875,12.744140625,-85.25390625
16.290566205978394,2025-07-25 16:58:37.791,-8.173828125,-97.822265625,100.37109375,107.841796875,12.744140625,-85.25390625
16.490818977355957,2025-07-25 16:58:37.991,-8.173828125,-97.822265625,100.37109375,107.841796875,12.744140625,-85.25390625
16.689411401748657,2025-07-25 16:58:38.190,-8.173828125,-97.822265625,100.37109375,107.841796875,12.744140625,-85.25390625
16.89089608192444,2025-07-25 16:58:38.391,-8.173828125,-97.822265625,100.37109375,107.841796875,12.744140625,-85.25390625
17.09196710586548,2025-07-25 16:58:38.592,-8.173828125,-97.822265625,100.37109375,107.841796875,12.744140625,-85.25390625
